code,description_es,description_pt
A00,Cólera,
A00-A09,Enfermedades infecciosas intestinales,
A00-B99,Ciertas enfermedades infecciosas y parasitarias,
A000,Cólera debido a Vibrio cholerae O1,"Cólera devida a Vibrio cholerae 01, biótipo cholerae"
A001,Cólera debido a Vibrio cholerae O1,"Cólera devida a Vibrio cholerae 01, biótipo El Tor"
A009,Cólera,Cólera não especificada
A01,Fiebres tifoidea y paratifoidea,
A010,Fiebre tifoidea,Febre tifóide
A011,Fiebre paratifoidea A,Febre paratifóide A
A012,Fiebre paratifoidea B,Febre paratifóide B
A013,Fiebre paratifoidea C,Febre paratifóide C
A014,Fiebre paratifoidea,Febre paratifóide não especificada
A02,Otras infecciones debidas a Salmonella,
A020,Enteritis debida a Salmonella,Enterite por salmonela
A021,Septicemia debida a Salmonella,Septicemia por salmonela
A022,Infecciones localizadas debidas a Salmonella,Infecções localizadas por salmonela
A028,Otras infecciones especificadas como debidas a Salmonella,Outras infecções especificadas por salmonela
A029,Infección debida a Salmonella,Infecção não especificada por salmonela
A03,Shigelosis,
A030,Shigelosis debida a Shigella dysenteriae,Shiguelose devida a Shigella dysenteriae
A031,Shigelosis debida a Shigella flexneri,Shiguelose devida a Shigella flexneri
A032,Shigelosis debida a Shigella boydii,Shiguelose devida a Shigella boydii
A033,Shigelosis debida a Shigella sonnei,Shiguelose devida a Shigella sonnei
A038,Otras shigelosis,Outras shigueloses
A039,Shigelosis de tipo no especificado,Shiguelose não especificada
A04,Otras infecciones intestinales bacterianas,
A040,Infección debida a Escherichia coli enteropatógena,Infecção por Escherichia coli enteropatogênica
A041,Infección debida a Escherichia coli enterotoxígena,Infecção por Escherichia coli enterotoxigênica
A042,Infección debida a Escherichia coli enteroinvasiva,Infecção por Escherichia coli enteroinvasiva
A043,Infección debida a Escherichia coli enterohemorrágica,Infecção por Escherichia coli enterohemorrágica
A044,Otras infecciones intestinales debidas a Escherichia coli,Outras infecções intestinais por Escherichia coli
A045,Enteritis debida a Campylobacter,Enterite por Campylobacter
A046,Enteritis debida a Yersinia enterocolitica,Enterite devida a Yersinia enterocolítica
